Howard G. Minsky,Arthur Hiller,,Ali MacGraw|Ryan O'Neal,Love Story
Ross Hunter,George Seaton,,Burt Lancaster|Dean Martin|Jean Seberg|Jacqueline Bisset|George Kennedy|Helen Hayes|Van Heflin,Airport
Ingo Preminger,Robert Altman,,Donald Sutherland|Elliott Gould|Tom Skerritt|Sally Kellerman|Robert Duvall|Roger Bowen|RenÃ© Auberjonois,MASH
Frank McCarthy|Frank McCarthy,Franklin J. Schaffner,,George C. Scott|Karl Malden,Patton
,Michael Wadleigh,,,Woodstock
Stuart Millar,Arthur Penn,,Dustin Hoffman|Faye Dunaway|Chief Dan George|Martin Balsam|Richard Mulligan|Cal Bellini,Little Big Man
Darryl F. Zanuck,Richard Fleischer|Toshio Masuda|Toshio Masuda|Kinji Fukasaku,,E. G. Marshall|James Whitmore|Takahiro Tamura|EijirÅ\x8d TÅ\x8dno|Jason Robards,Tora! Tora! Tora!
,Harald Reinl,Erich von DÃ¤niken,,Chariots of the Gods
Winston Hibler,Wolfgang Reitherman,,Phil Harris|Eva Gabor|Hermione Baddeley|Gary Dubin|Dean Clark|Dean Clark|Sterling Holloway|Roddy Maude-Roxby|Louise English|Liz English,The Aristocats
,Norman Jewison,,Chaim Topol|Topol|Norma Crane|Leonard Frey|Molly Picon|Paul Mann,Fiddler on the Roof
Philip D'Antoni,William Friedkin,,Gene Hackman|Fernando Rey|Roy Scheider|Tony Lo Bianco|Marcel Bozzuffi,The French Connection
Harry Saltzman|Albert R. Broccoli,Guy Hamilton,,Sean Connery|Jill St. John|Charles Gray|Charles Gray|Lana Wood|Jimmy Dean|Bruce Cabot,Diamonds Are Forever
Robert Daley|Robert Daley,Don Siegel,,Clint Eastwood|Andrew Robinson|Andy Robinson|Harry Guardino|Reni Santoni|John Vernon,Dirty Harry
,Tom Laughlin,Delores Taylor,Tom Laughlin|Delores Taylor,Billy Jack
Stephen J. Friedman|Stephen J. Friedman,Peter Bogdanovich,,Timothy Bottoms|Jeff Bridges|Cybill Shepherd|Eileen Brennan|Ellen Burstyn|Ben Johnson|Ben Johnson|Cloris Leachman|Randy Quaid,The Last Picture Show
Joseph E. Levine,Mike Nichols,Jules Feiffer,Jack Nicholson|Art Garfunkel|Arthur Garfunkel|Ann-Margret|Candice Bergen|Rita Moreno|Carol Kane,Carnal Knowledge
,Stanley Kubrick,,Malcolm McDowell|Patrick Magee|Patrick Magee|Adrienne Corri|Miriam Karlin,
Bill Walsh|Bill Walsh,Robert Stevenson|Robert Stevenson,,Cindy O'Callaghan,Bedknobs and Broomsticks
Albert S. Ruddy,Francis Ford Coppola,,Marlon Brando|Al Pacino|James Caan|Richard Castellano|Robert Duvall|Sterling Hayden|John Marley|Richard Conte|Diane Keaton,The Godfather
Irwin Allen,Ronald Neame,,Gene Hackman|Ernest Borgnine|Red Buttons|Carol Lynley|Shelley Winters|Roddy McDowall|Stella Stevens|Jack Albertson|Pamela Sue Martin|Arthur O'Connell|Eric Shea|Leslie Nielsen,The Poseidon Adventure
,Mitchell brothers|Artie Mitchell|Mitchell brothers|Jim Mitchell,,Marilyn Chambers|Johnnie Keyes,Behind the Green Door
,John Boorman,,Jon Voight|Burt Reynolds|Ned Beatty|Ronny Cox,Deliverance
Cy Feuer,Bob Fosse,,Liza Minnelli|Michael York|Helmut Griem|Joel Grey|Fritz Wepper|Marisa Berenson,Cabaret
,Sam Peckinpah,,Steve McQueen|Ali MacGraw|Ben Johnson|Ben Johnson|Al Lettieri|Sally Struthers,The Getaway
Steve Krantz,Ralph Bakshi,,Skip Hinnant|Rosetta LeNoire|Phil Seuling,Fritz the Cat
,Charles B. Pierce,,,The Legend of Boggy Creek
,Sydney Pollack,,Robert Redford|Will Geer,Jeremiah Johnson
Tony Bill|Michael Phillips|Michael Phillips|Julia Phillips,George Roy Hill,David S. Ward,Paul Newman|Robert Redford|Robert Shaw|Robert Shaw,The Sting
William Peter Blatty,William Friedkin,,Ellen Burstyn|Max von Sydow|Lee J. Cobb|Kitty Winn|Jack MacGowran|Jason Miller|Jason Miller|Linda Blair,The Exorcist
Francis Ford Coppola,George Lucas,Gloria Katz|Willard Huyck,Richard Dreyfuss|Ron Howard|Paul Le Mat|Charles Martin Smith|Candy Clark|Mackenzie Phillips|Cindy Williams|Wolfman Jack|Paul Le Mat|Charles Martin Smith|Candy Clark|Mackenzie Phillips|Cindy Williams|Wolfman Jack,American Graffiti
Ted Richmond,Franklin J. Schaffner,,Steve McQueen|Dustin Hoffman,Papillon
Ray Stark,Sydney Pollack,Arthur Laurents,Barbra Streisand|Robert Redford,The Way We Were
Robert Daley|Robert Daley,Ted Post,,Clint Eastwood|Hal Holbrook|Mitchell Ryan|David Soul|Felton Perry|Robert Urich|Tim Matheson,Magnum Force
Alberto Grimaldi,Bernardo Bertolucci,,Marlon Brando|Maria Schneider|Maria Schneider|Jean-Pierre LÃ©aud,Last Tango in Paris
Harry Saltzman|Albert R. Broccoli,Guy Hamilton,,Roger Moore|Yaphet Kotto|Jane Seymour|Jane Seymour|Julius Harris,Live and Let Die
,Wolfgang Reitherman,,Phil Harris|Andy Devine|Peter Ustinov|Terry-Thomas|Brian Bedford|Monica Evans|Carole Shelley|Pat Buttram|Roger Miller,Robin Hood
Frank Marshall|Frank Marshall,Peter Bogdanovich,,Ryan O'Neal|Madeline Kahn|John Hillerman|Tatum O'Neal,Paper Moon
,Raj Kapoor,,Rishi Kapoor|Dimple Kapadia|Prem Nath|Pran|Pran,Bobby
Michael Hertzberg,Mel Brooks,,Cleavon Little|Gene Wilder|Harvey Korman|Slim Pickens|Madeline Kahn|Dom DeLuise,Blazing Saddles
Irwin Allen,John Guillermin,,Steve McQueen|Paul Newman|William Holden|Faye Dunaway|Fred Astaire|Susan Blakely|Richard Chamberlain|Jennifer Jones|O. J. Simpson|Robert Vaughn|Robert Wagner,The Towering Inferno
,Tom Laughlin|Tom Laughlin,,George Aguilar,The Trial of Billy Jack
Michael Gruskoff,Mel Brooks,,,Young Frankenstein
,Mark Robson,Mario Puzo,Charlton Heston|Ava Gardner|George Kennedy|Lorne Greene|GeneviÃ¨ve Bujold|Richard Roundtree,Earthquake
Edgar J. Scherick,Joseph Sargent,,Walter Matthau|Robert Shaw|Robert Shaw|Martin Balsam|HÃ©ctor Elizondo,The Taking of Pelham One Two Three
,Francis Ford Coppola,,Al Pacino|Robert Duvall|Diane Keaton|Robert De Niro|Talia Shire|Morgana King|John Cazale|Marianna Hill|Lee Strasberg,The Godfather Part II
Jennings Lang,Jack Smight,,Charlton Heston|Karen Black|George Kennedy|Efrem Zimbalist|Jr.|Susan Clark|Erik Estrada,Airport 1975
Charles E. Sellier Jr.,Richard Friedenberg,Lawrence Dobkin,Dan Haggerty|Denver Pyle|Don Shanks (stuntman)|Don Shanks,The Life and Times of Grizzly Adams (film)
Albert S. Ruddy,Robert Aldrich,,Burt Reynolds|Eddie Albert|Ed Lauter|Michael Conrad,The Longest Yard
Richard D. Zanuck|David Brown|David Brown,Steven Spielberg,,Roy Scheider|Robert Shaw (British actor)|Robert Shaw|Richard Dreyfuss|Lorraine Gary|Murray Hamilton,Jaws
Lou Adler|Michael White|Michael White,Jim Sharman,,Tim Curry|Susan Sarandon|Tim Curry|Susan Sarandon|Barry Bostwick,The Rocky Horror Picture Show
Martin Bregman,Sidney Lumet,,Al Pacino|John Cazale|James Broderick|Charles Durning,Dog Day Afternoon
Warren Beatty,Hal Ashby,Robert Towne,Julie Christie|Goldie Hawn|Lee Grant|Jack Warden|Tony Bill|Carrie Fisher,Shampoo
,Blake Edwards,Frank Waldman,Peter Sellers|Christopher Plummer|Catherine Schell|Herbert Lom,The Return of the Pink Panther
Ray Stark,Herbert Ross,Jay Presson Allen|Arnold Schulman,Barbra Streisand|James Caan|Omar Sharif|Roddy McDowall|Ben Vereen,Funny Lady
,Norman Tokar,,Harry Morgan|Slim Pickens,The Apple Dumpling Gang
Fouad Said,Floyd Mutrux,,Paul Le Mat|Dianne Hull,Aloha|Bobby and Rose
,,,,
Edward S. Feldman,Larry Peerce,,Marilyn Hassett|Beau Bridges,The Other Side of the Mountain
G. P. Sippy,Ramesh Sippy,Salim-Javed,Dharmendra|Sanjeev Kumar|Hema Malini|Amitabh Bachchan|Jaya Bhaduri|Amjad Khan|Amjad Khan,Sholay
Mosfilm,Georgiy Daneliya,Alexander Borodyanski,Leonid Kuravlyov|Yevgeny Leonov|Yevgeniya Simonova,Afonya
Robert Chartoff|Irwin Winkler,John G. Avildsen,Sylvester Stallone,Talia Shire|Burt Young|Carl Weathers|Burgess Meredith,Rocky
,Greg MacGillivray,Robert M. Young|Robert M. Young,Ellen Bry,To Fly!
Jon Peters|Barbra Streisand,Frank Pierson,,Barbra Streisand|Kris Kristofferson|Gary Busey,A Star Is Born
Harvey Bernhard,Richard Donner,David Seltzer,Gregory Peck|Lee Remick|David Warner|David Warner|Billie Whitelaw,The Omen
Dino De Laurentiis,John Guillermin,,Jeff Bridges|Charles Grodin|Jessica Lange,King Kong
,Arthur Hiller,Colin Higgins,Gene Wilder|Jill Clayburgh|Richard Pryor|Patrick McGoohan,Silver Streak
Robert Daley|Robert Daley,James Fargo,,Clint Eastwood|Harry Guardino|Bradford Dillman|Tyne Daly|DeVeren Bookwalter,The Enforcer
Walter Mirisch,Jack Smight,Donald S. Sanford,Charlton Heston|Henry Fonda|James Coburn|Glenn Ford|Hal Holbrook|Toshiro Mifune|Robert Mitchum|Cliff Robertson|Charlton Heston|Henry Fonda|James Coburn|Glenn Ford|Hal Holbrook|Toshiro Mifune|Robert Mitchum|Cliff Robertson|Robert Wagner,Midway
Gary Kurtz,George Lucas,,Mark Hamill|Harrison Ford|Carrie Fisher|Peter Cushing|Alec Guinness,Star Wars
Robert L. Levy|Robert L. Levy,Hal Needham,,Burt Reynolds|Sally Field|Jackie Gleason|Jerry Reed|Mike Henry (football)|Mike Henry,Smokey and the Bandit
,Steven Spielberg,,Richard Dreyfuss|Teri Garr|Melinda Dillon|FranÃ§ois Truffaut,Close Encounters|of the Third Kind
Robert Stigwood,John Badham,,John Travolta|Karen Gorney,Saturday Night Fever
Ray Stark,Herbert Ross,Neil Simon,Richard Dreyfuss|Marsha Mason|Quinn Cummings,The Goodbye Girl
Joseph E. Levine,Richard Attenborough,,Dirk Bogarde|James Caan|James Caan|Michael Caine|Sean Connery|Edward Fox|Edward Fox|Elliott Gould|Anthony Hopkins|Gene Hackman|Hardy KrÃ¼ger|Laurence Olivier|Robert Redford|Maximilian Schell|Liv Ullmann,A Bridge Too Far
Peter Guber,Peter Yates,,Robert Shaw (British actor)|Robert Shaw|Jacqueline Bisset|Nick Nolte|Louis Gossett|Jr.,The Deep
Albert R. Broccoli,Lewis Gilbert,,Roger Moore|Barbara Bach|Curd JÃ¼rgens,The Spy Who Loved Me
Jerry Weintraub,Carl Reiner,,George Burns|John Denver|Teri Garr|Donald Pleasence|Ralph Bellamy|William Daniels|Barnard Hughes|Paul Sorvino,Oh|God!
Charles H. Joffe,Woody Allen,Marshall Brickman,Diane Keaton|Tony Roberts|Tony Roberts|Carol Kane|Paul Simon|Janet Margolin|Shelley Duvall|Christopher Walken|Colleen Dewhurst,Annie Hall
Robert Stigwood|Allan Carr,Randal Kleiser,,John Travolta|Olivia Newton-John|Stockard Channing|Jeff Conaway,Grease
Pierre Spengler,Richard Donner,,Marlon Brando|Gene Hackman|Christopher Reeve|Ned Beatty|Jackie Cooper|Glenn Ford|Trevor Howard|Margot Kidder|Valerie Perrine|Maria Schell|Terence Stamp|Phyllis Thaxter|Susannah York,Superman
Matty Simmons|Ivan Reitman,John Landis,Harold Ramis|Douglas Kenney|Chris Miller|Chris Miller,John Belushi|Tim Matheson|John Vernon|Verna Bloom|Tom Hulce|Thomas Hulce|Stephen Furst|John Belushi|Tim Matheson|John Vernon|Verna Bloom|Tom Hulce|Thomas Hulce|Stephen Furst|Donald Sutherland,National Lampoon's Animal House
Robert Daley|Robert Daley,James Fargo,Jeremy Joe Kronsberg,Clint Eastwood|Sondra Locke|Geoffrey Lewis|Geoffrey Lewis|Ruth Gordon|John Quade,Every Which Way but Loose
,,,Julie Christie|James Mason|Jack Warden|Charles Grodin|Dyan Cannon|R G Armstrong,Heaven Can Wait
Hank Moonjean,Hal Needham,Thomas Rickman|Thomas Rickman|Bill Kerby,Burt Reynolds|Jan-Michael Vincent|Sally Field|Brian Keith|Robert Klein|James Best,Hooper
David Brown|David Brown|Richard D. Zanuck,Jeannot Szwarc,Carl Gottlieb|Howard Sackler,Roy Scheider|Lorraine Gary|Murray Hamilton,Jaws 2
,Blake Edwards,,Peter Sellers|Herbert Lom|Dyan Cannon|Robert Webber|Tony Beckley|Paul Stewart|Paul Stewart,Revenge of the Pink Panther
Barry Spikings|Michael Deeley,Michael Cimino,,Robert De Niro|John Cazale|John Savage|John Savage|Meryl Streep|Christopher Walken,The Deer Hunter
Debra Hill,John Carpenter,,Donald Pleasence|Jamie Lee Curtis|P. J. Soles|Nancy Loomis,Halloween
Stanley R. Jaffe,Robert Benton,,Dustin Hoffman|Meryl Streep|Justin Henry|Jane Alexander,Kramer vs. Kramer
Samuel Z. Arkoff,Stuart Rosenberg,,James Brolin|Margot Kidder|Rod Steiger|Don Stroud|Murray Hamilton,The Amityville Horror
Robert Chartoff|Irwin Winkler,Sylvester Stallone,,Talia Shire|Burt Young|Carl Weathers|Burgess Meredith,Rocky II
,Francis Ford Coppola|Francis Coppola,John Milius|John Milius|Michael Herr,Marlon Brando|Robert Duvall|Martin Sheen|Frederic Forrest|Albert Hall|Albert Hall|Sam Bottoms|Laurence Fishburne|Larry Fishburne|Marlon Brando|Robert Duvall|Martin Sheen|Frederic Forrest|Albert Hall|Albert Hall|Sam Bottoms|Dennis Hopper,Apocalypse Now
Gene Roddenberry,Robert Wise,,William Shatner|Leonard Nimoy|DeForest Kelley|James Doohan|George Takei|Majel Barrett|Walter Koenig|Nichelle Nichols|Persis Khambatta|Stephen Collins,Star Trek: The Motion Picture
Gordon Carroll|David Giler|Walter Hill|Walter Hill,Ridley Scott,,Tom Skerritt|Sigourney Weaver|Veronica Cartwright|Harry Dean Stanton|John Hurt|Ian Holm|Yaphet Kotto,Alien
Tony Adams|Tony Adams,Blake Edwards,,Dudley Moore|Julie Andrews|Robert Webber|Bo Derek,10
David V. Picker|William E. McEuen,Carl Reiner,Steve Martin|Carl Gottlieb,Steve Martin|Bernadette Peters|M. Emmet Walsh|Jackie Mason|Dick O'Neill|Mabel King,The Jerk
Albert R. Broccoli,Lewis Gilbert,,Roger Moore|Lois Chiles|Michael Lonsdale|Richard Kiel|Corinne ClÃ©ry,Moonraker
Jim Henson,James Frawley,,Jim Henson|Frank Oz|Jerry Nelson|Richard Hunt (puppeteer)|Richard Hunt|Dave Goelz|Charles Durning|Jim Henson|Frank Oz|Jerry Nelson|Richard Hunt (puppeteer)|Richard Hunt|Dave Goelz|Charles Durning|Austin Pendleton,The Muppet Movie
,Manmohan Desai,,Amitabh Bachchan|Shashi Kapoor|Rekha|Parveen Babi|Nirupa Roy|Amjad Khan|Amjad Khan,Suhaag
,Rintaro,,,Galaxy Express 999
Pierre Spengler,Richard Donner,,Marlon Brando|Gene Hackman|Christopher Reeve|Ned Beatty|Jackie Cooper|Glenn Ford|Trevor Howard|Margot Kidder|Valerie Perrine|Maria Schell|Terence Stamp|Phyllis Thaxter|Susannah York,Superman
Gary Kurtz,Irvin Kershner,,Mark Hamill|Harrison Ford|Carrie Fisher|Billy Dee Williams|Anthony Daniels|David Prowse|Kenny Baker (English actor)|Kenny Baker|Peter Mayhew|Frank Oz,The Empire Strikes Back
,Colin Higgins,,Jane Fonda|Lily Tomlin|Dolly Parton|Dabney Coleman,9 to 5
Hannah Weinstein,Sidney Poitier,Bruce Jay Friedman,Gene Wilder|Richard Pryor,Stir Crazy
Jon Davison|Jon Davison,Jim Abrahams|David Zucker|David Zucker|Jerry Zucker|Jerry Zucker,,Robert Hays|Julie Hagerty|Leslie Nielsen|Lloyd Bridges|Robert Stack|Kareem Abdul-Jabbar|Peter Graves|Lorna Patterson,Airplane!
Robert Daley|Robert Daley,Buddy Van Horn,Stanford Sherman|Jeremy Joe Kronsberg,Clint Eastwood|Sondra Locke|Geoffrey Lewis|Geoffrey Lewis|Ruth Gordon|William Smith|William Smith,Any Which Way You Can
Charles Shyer|Goldie Hawn,Howard Zieff,,Goldie Hawn|Eileen Brennan|Armand Assante,Private Benjamin
,Hal Needham,Jerry Belson|Brock Yates,Burt Reynolds|Jackie Gleason|Jerry Reed|Dom DeLuise|Sally Field,Smokey and the Bandit II
,Randal Kleiser,,Brooke Shields|Christopher Atkins|Leo McKern|William Daniels,The Blue Lagoon
